Field Number(s),Common Name,Observation Date,Observation Year,How Observed,Observation Status,Final SIM Status,In MMHSRP Stranding DB,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Date of Examination,Condition at Examination,Vessel Type,Sex,Age Class,Length,Length Units,Necropsied,Date of Necropsy,Carcass Disposition,Additional Remarks,
200210094,Unidentified Whale,10/28/2002,2002,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,OFFSHORE SOUTHERN CALIFORNIA (ASSUMED TO BE SAN DIEGO COUNTY),NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,NAVY VESSEL COLLIDED WITH FREE-SWIMMING WHALE; BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
2002-SJ035,Fin Whale,11/4/2002,2002,Floating,Fresh Dead,NO DATA,No,WA,San Juan,Sucia Island,near Skipjack & Sucia Islands,,,,,11/5/2002,Fresh Dead,Unknown,MALE,SUBADULT,1623,cm,Y,11/6/2002,Sunk,luxation of T3 w/transection of spinal cord; bilaterally symmetrical compressive fractures of ribs 1-5; massive sc hemorrhage & edema emanating from dorsolateral aspect of head & chest along L dorsum to level of dorsal fin,
200304160,Gray Whale,4/18/2003,2003,NO DATA,NO DATA,DEAD,No,CA,08-San Francisco,NO DATA,"LANDS END,  AT 48TH STREET",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,CALF,790,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 2 PROPELLER-LIKE SLASHES THROUGH BONE & BALEEN ON RIGHT SIDE OF ROSTRUM; BROKEN ROSTRUM,
BLANK,Unidentified Whale,6/25/2003,2003,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,OFFSHORE SAN DIEGO,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,NAVY VESSEL STRUCK WHALE DURING NORMAL UNDERWAY OPERATIONS,
200307173,Blue Whale,7/22/2003,2003,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA, OFFSHORE SAN DIEGO,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Research,UNKNOWN,UNKNOWN,1371.6,cm,NO DATA,NO DATA,NO DATA,RESEARCH VESSEL COLLIDED (GLANCING BLOW) WITH FREE-SWIMMING ANIMAL THAT SURFACED IN FRONT OF VESSEL; VESSEL HIT TAIL SECTION OF 40-45 FOOT WHALE;  WHALE APPEARED UPSET BUT NOT INJURED; NO DAMAGE TO VESSEL FROM COLLISION; NO BLOOD OBSERVED IN WATER; FINAL ,
CRC-498,Sei Whale,9/12/2003,2003,Beach or Land,Fresh Dead,NO DATA,No,WA,Clallam,Port Angeles,,,,,,9/15/2003,Moderate Decomposition,Shipping,MALE,ADULT,1304,cm,Y,,Left at Site,container ship,
200404103,Fin Whale,4/14/2004,2004,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,OFFSHORE SOUTHERN CALIFORNIA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,MALE,SUBADULT,1432.56,cm,NO DATA,NO DATA,NO DATA,CARCASS DRAPED AROUND BOW OF CONTAINER SHIP ENTERING LOS ANGELES HARBOR; LOCALITY OF COLLISION UNKNOWN,
200405055,Unidentified Whale,5/6/2004,2004,NO DATA,NO DATA,SERIOUS INJURY,No,CA,08-San Francisco,NO DATA,"SAN FRANCISCO BAY, UNDER GOLDEN GATE BRIDGE",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Cruise,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,PASSENGER ABOARD CRUISE SHIP FELT A SHARP JOLT & OBSERVED WHAT APPEARED TO BE EITHER A DORSAL OR PECTORAL FIN OF A  WHALE; BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
200406102,Unidentified Whale,6/12/2004,2004,NO DATA,NO DATA,SERIOUS INJURY,No,CA,09-San Mateo,NO DATA,PILLAR POINT AREA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Fishing,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,FISHING VESSEL COLLIDED WITH FREE-SWIMMING WHALE AS WHALE WAS SURFACING; WHALE OBSERVED GOING UNDER BOAT; NO FURTHER OBSERVATIONS; FINAL STATUS UNKNOWN,
BLANK,Blue Whale,6/26/2004,2004,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,OFFSHORE SAN DIEGO,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,"NAVY VESSEL STRUCK LARGE WHALE, ESTIMATED 60-70 FEET",
CRC-509,Humpback Whale,7/4/2004,2004,Beach or Land,Advanced Decomposition,NO DATA,No,WA,Jefferson,Kalaloch,,,,,,7/6/2004,Advanced Decomposition,Unknown,MALE,SUBADULT,835,in,N,,Left at Site,Appears to be remnants of hemmoraging just behind the head; possible ship collision,
200408176,Blue Whale,8/21/2004,2004,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,"BERTH 91, PORT OF LOS ANGELES",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,FEMALE,YEARLING,1584.96,cm,NO DATA,NO DATA,NO DATA,CARCASS DRAPED AROUND BOW OF FREIGHTER; LOCALITY OF COLLISION UNKNOWN,
200410022,Unidentified Whale,10/6/2004,2004,NO DATA,NO DATA,SERIOUS INJURY,No,CA,02- Humboldt,NO DATA,OFFSHORE EUREKA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,USCG,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,COAST GUARD VESSEL COLLIDED WITH FREE-SWIMMING WHALE; FINAL STATUS UNKNOWN,
200502075,Humpback Whale,2/25/2005,2005,NO DATA,NO DATA,SERIOUS INJURY,No,CA,08-San Francisco,NO DATA,"OFFSHORE, EAST OF GOLDEN GATE BRIDGE",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,USCG,UNKNOWN,UNKNOWN,762,cm,NO DATA,NO DATA,NO DATA,"COAST GUARD VESSEL COLLIDED WITH FREE-SWIMMING WHALE ON PORT SIDE OF VESSEL; FOLLOWING COLLISION, WHALE BREACHED APPROXIMATELY 20 YARDS OFF STERN, ROLLED ON ITS RIGHT SIDE & EXPOSED A PECTORAL FIN ABOVE SURFACE; WHALE REMAINED AT SURFACE FOR APPROXIMATELY",
CRC-538,Gray Whale,4/18/2005,2005,Floating,Fresh Dead,NO DATA,No,WA,Island,Whidbey Island,Sandy Point dock,48/02/05,deg/min/sec,122/22/72,deg/min/sec,4/19/2005,Fresh Dead,Unknown,MALE,YEARLING,756,cm,Y,4/19/2005,Left at Site,Death likely by trauma from blunt object colliding with whale compounded by severe emaciation. evidence of blunt trauma to underside of neck; possible boat collision; Hemmorage and oedema noted within the throat region. ,
200507085,Fin Whale,7/8/2005,2005,NO DATA,NO DATA,SERIOUS INJURY,No,CA,13-Santa Barbara,NO DATA,JUST EAST OF SANTA BARBARA ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,"FREE-SWIMMING ANIMAL WITH TWO  LARGE WOUNDS ON DORSUM, PROBABLE SMALL SHIP OR LARGE BOAT TWIN PROPELLER WOUNDS; FINAL STATUS UNKNOWN",
CRC-700,Gray Whale,12/8/2005,2005,NO DATA,Moderate Decomposition,NO DATA,No,WA,,,Marrowstone Island,,,,,,,Unknown,Male,Yearling,,UUU,,,,Large gash on right side caudal peduncle,
200602001,Gray Whale,2/1/2006,2006,Swimming,Alive,SERIOUS INJURY,Yes,CA,13-Santa Barbara,SANTA BARBARA,1 MILE OFFSHORE LEADBETTER BEACH,34.23,decimal degrees,-119.42,decimal degrees,2/1/2006,Alive,Recreational,FEMALE,UNKNOWN,914.4,cm,NA,NA,NA,"FREE-SWIMMING WHALE BREACHED ADJACENT TO CABIN CRUISER & CRASHED DOWN ON VESSEL'S WINDSHIELD, EMBEDDING PIECES OF SKIN & BARNACLES IN GLASS; ANIMAL SWAM AWAY; NO BLOOD OBSERVED IN WATER; FINAL STATUS OF ANIMAL UNKNOWN;",
200602012,Gray Whale,2/10/2006,2006,NO DATA,Moderate Decomposition,DEAD,Yes,CA,15-Los Angeles,SAN PEDRO,CABRILLO BEACH,33.7155394,decimal degrees,-118.3089075,decimal degrees,2/10/2006,Moderate Decomposition,Unknown,MALE,YEARLING,876,cm,N,NA,Towed,DEAD STRANDING; RIGHT SIDE OF BODY WAS PARTIALLY DETACHED JUST BEHIND THE SKULL; OCCPITAL REGION OF SKULL BROKEN,
200603026,Unidentified Whale,3/6/2006,2006,Swimming,Alive,SERIOUS INJURY,No,CA,11-Monterey,NO DATA,MONTEREY BAY,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,USCG,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,FREE-SWIMMING WHALE STRUCK BY COAST GUARD VESSEL; 6' x 6' AREA OF BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
200603132,Unidentified Whale,3/22/2006,2006,Swimming,Alive,SERIOUS INJURY,Yes,CA,17-San Diego,San Diego,SOUTHEAST OF SAN CLEMENTE ISLAND,33.3171438,decimal degrees,-118.8351462,decimal degrees,3/22/2006,Alive,US NAVY,UNKNOWN,UNKNOWN,,cm,NA,NA,NA,COLLISION BETWEEN U.S. NAVY VESSEL & FREE SWIMMING WHALE; CREW MEMBERS FELT A SHUDDER & OBSERVED BLOOD & FLESH IN WATER; FINAL STATUS OF WHALE UNKNOWN,
200603154,Gray Whale,3/24/2006,2006,Swimming,Alive,SERIOUS INJURY,No,CA,17-San Diego,San Diego,"SAN DIEGO BAY, BETWEEN SHELTER ISLAND & HARBOR ISLAND",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Recreational,UNKNOWN,YEARLING,914.4,cm,NO DATA,NO DATA,NO DATA,PLEASURE CRAFT COLLIDED WITH FREE-SWIMMING WHALE; BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
200604305,Gray Whale,4/20/2006,2006,Floating,Fresh Dead,DEAD,Yes,CA,08-San Francisco,San Francisco,"SAN FRANCISCO BAY, NEAR ALCATRAZ ISLAND",37.827,decimal degrees,-122.423,decimal degrees,4/20/2006,Fresh Dead,Unknown,FEMALE,ADULT,1400,cm,N,NA,Left at Site,FLOATING CARCASS; PROPELLER-LIKE WOUNDS ON BODY,
CRC712,Fin Whale,5/14/2006,2006,Floating,Fresh Dead,NO DATA,Yes,WA,Whatcom,Lummi Island,,48.45.625,deg/min/sec,(122.40.308),deg/min/sec,5/16/2006,Moderate Decomposition,Unknown,MALE,ADULT,1690,cm,Y,5/16/2006,Left at Site,"first reported floating near Lummi Island; towed to Portage Island for necropsy; skin largely intact, losing skin on caudal peduncle due to towing; transverse impression R dorsal surface just posterior to pec fin; most likely ship strike",
200606181,Unidentified Whale,6/29/2006,2006,Swimming,Alive,SERIOUS INJURY,No,MEX,18-Mexico,NO DATA,5 MILES SOUTH OF MIDDLE CORONADO ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NA,NA,Fishing,UNKNOWN,UNKNOWN,,cm,N,NA,NA,FISHING BOAT COLLIDED WITH FREE-SWIMMING WHALE SHORTLY AFTER ENTERNING MEXICAN WATERS; UPWELLING FROM WHAT APPEARED TO BE WHALE FLUKES OBSERVED ON STARBOARD SIDE; HOLE  PUNCHED IN BOW THROUGH OUTER HULL BELOW WATERLINE; NO BLOOD OBSERVED IN WATER,
060710MnSS,Humpback whale,7/10/2006,2006,Swimming,Alive,NO DATA,No,WA,,,"South Puget Sound, Off of Johnson Point",,,,,,,Unknown,Unknown,Unknown,,,,,,spotted with fresh injuries from a collision with a small vessel prop on head and back,
CRC-778,Fin Whale,11/8/2006,2006,Floating,Advanced Decomposition,NO DATA,Yes,WA,Snohomish,Everett,Port of Everett,47.9849,decimal degrees,-122.2199,decimal degrees,11/9/2006,Advanced Decomposition,Unknown,MALE,SUBADULT,1643,cm,Y,11/9/2006,Towed,"Deep entangelment scars around left lower and upper jaw, a large ball of tangled rope with stalked barnacles was still attached to right side, probably through the mouth. Bruising at entanglement sight indicates entanglement occurred while live. ",
080128BmSS,Blue Whale,1/28/2007,2007,Swimming,Alive,NO DATA,No,OR,TILLAMOOK,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,UNKNOWN,Unknown,100,ft,N,NA,NO DATA,CONTAINER SHIP REPORTED STRIKING A WHALE,
HMSC07-02-21-Pm,Sperm Whale,2/21/2007,2007,Beach or Land,Moderate Decomposition,DEAD,Yes,OR,Lane,Florence,"Siltcoos Recreation Area, near Wax Myrtle beach access",43.8527,decimal degrees,-124.1608,decimal degrees,2/22/2007,Moderate Decomposition,Unknown,FEMALE,PUP/CALF,613,cm,Y,2/21/2007,Left at Site,"Obvious evidence of propeller trauma; deep gash on dorsal side, caudal end of body cut off at peduncle",
TMMC-C-230,Humpback Whale,5/9/2007,2007,Swimming,Alive,SERIOUS INJURY,Yes,CA,05-Sacramento,Sacramento,"PORT OF SACRAMENTO, DEEP WATER SHIPPING CHANNEL",38.563,decimal degrees,-121.553,decimal degrees,5/13/2007,Alive,Unknown,FEMALE,ADULT,1600,cm,NA,NA,NA,"MOTHER/CALF PAIR SWAM UP SACRAMENTO RIVER; PROPELLER WOUNDS ON BACK IN FRONT OF DORSAL FIN; ANIMAL HERDED BACK TO OPEN OCEAN; THE CALF'S WOUND IS A LATERAL LACERATION THAT IS ABOUT 2/3 OF THE WAY DOWN THE BODY. IT HAS ONLY BEEN SEEN INFREQUENTLY, BECAUSE THAT PART OF THE ANIMAL TYPICALLY REMAINS UNDERWATER, EXCEPT WHEN THE ANIMAL STRONGLY ARCHES ITS BACK. THIS CUT APPEARS TO BE DEEPER, AND IS BELIEVED TO EXTEND INTO THE MUSCLE LAYER AND MAY BE BLEEDING.",
TMMC-C-231,Humpback Whale,5/9/2007,2007,Swimming,Alive,SERIOUS INJURY,Yes,CA,05-Sacramento,Sacramento,"PORT OF SACRAMENTO, DEEP WATER SHIPPING CHANNEL",38.563,decimal degrees,-121.553,decimal degrees,5/13/2007,Alive,Unknown,FEMALE,CALF,500,cm,NA,NA,NA,"MOTHER/CALF PAIR SWAM UP SACRAMENTO RIVER; PROPELLER WOUNDS ON BACK IN FRONT OF DORSAL FIN; ANIMAL HERDED BACK TO OPEN OCEAN; THE ADULT COW HAS A STRAIGHT LACERATION ON HER DORSAL SURFACE THAT IS ESTIMATED TO BE 2-3' LONG AND 6"" DEEP. THE CUT DOES NOT EXTEND INTO THE MUSCLE LAYER, AND NO BLOOD HAS BEEN SEEN FROM THIS WOUND. A SECOND SUPERFICIAL CUT CAN BE SEEN JUST BEFORE THE DORSAL FIN. VETERINARIANS DO NOT BELIEVE THAT THIS ANIMAL IS IN ANY IMMEDIATE DANGER FROM THIS WOUND.",
TMMC-C-234,Gray Whale,6/1/2007,2007,Floating,Advanced Decomposition,DEAD,Yes,CA,04-Marin,,OFFSHORE POINT DIABLO,37.825,decimal degrees,-122.49299,decimal degrees,6/1/2007,Advanced Decomposition,Unknown,FEMALE,ADULT,950,cm,N,NA,Left at Site,CARCASS FLOATING OFFSHORE; 4 PROPELLER WOUNDS TO BODY; LEFT PECTORAL FIN SEVERED,
NEEDED,Sperm Whale,8/15/2007,2007,Swimming,Alive,NOT SERIOUS INJURY,No,WA,PACIFIC NW,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Fishing,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,"58 FOOT SABLEFISH LONGLINE VESSEL HIT WHALE AT IDLE SPEED. OBSERVER REPORTED NO EVIDENCE OF INJURY TO THE WHALE. DAY OF OBSERVATION WAS NOT PROVIDED BY OBSERVER PROGRAM, THUS, 'DAY' IS REPORTED AS '15TH', OR MIDPOINT OF MONTH.",
LACM-DSJ-2231,Blue Whale,9/8/2007,2007,Floating,Moderate Decomposition,DEAD,Yes,CA,15-Los Angeles,Long Beach,"WEST BASIN, LONG BEACH HARBOR",33.7472,decimal degrees,-118.221,decimal degrees,9/8/2007,Moderate Decomposition,Unknown,MALE,ADULT,2195,cm,N,NA,Left at Site,CARCASS FLOATING IN HARBOR; SUSPECTED SHIP STRIKE,
SBMNH-2007-19,Blue Whale,9/11/2007,2007,Floating,Moderate Decomposition,DEAD,Yes,CA,14-Ventura,,WEST END OF SANTA BARBARA  CHANNEL; STRANDED AT HOBSON COUNTY PARK         ,34.3372,decimal degrees,-119.41,decimal degrees,9/14/2007,Moderate Decomposition,Unknown,FEMALE,SUBADULT,2400,cm,Y,9/15/2007,Buried,CARCASS FLOATING IN CHANNEL; SEVERE INTERNAL INJURIES; CONFIRMED SHIP STRIKE; CARCASS; VERTEBRAL COLUMN SEVERED IN LUMBAR/CAUDAL REGION; LARGE HEMATOMA EXTENDING FROM DORSAL FIN TO PECTORAL FIN ON LEFT LATERAL SIDE,
SBMNH-2007-20,Blue Whale,9/19/2007,2007,Beach or Land,Fresh Dead,DEAD,Yes,CA,14-Ventura,,WEST END OF SANTA BARBARA  CHANNEL          ,34.1623,decimal degrees,-119.467,decimal degrees,9/22/2007,Moderate Decomposition,Unknown,MALE,SUBADULT,2120,cm,Y,9/22/2007,Towed,"CARCASS FLOATING IN CHANNEL; SEVERE INTERNAL INJURIES; CONFIRMED SHIP STRIKE; CARCASS; CRANIAL RIBS, THORACIC VERTEBRAE & CAUDAL SKULL FRACTURED",
LACM-DSJ-2232,Gray Whale,10/7/2007,2007,Floating,Dead,DEAD,Yes,CA,15-Los Angeles,Los Angeles,LOS ANGELES HARBOR,NO DATA,decimal degrees,NO DATA,decimal degrees,NA,NA,Unknown,UNKNOWN,YEARLING,792.48,cm,N,NA,Unknown,CARCASS FLOATING IN HARBOR; PROPELLER WOUNDS TO VENTRUM,
TMMC-C-249,Humpback Whale,10/11/2007,2007,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,04-Marin,,"WILDCAT BEACH, PT. REYES NATIONAL SEASHORE",37.974,decimal degrees,-122.795,decimal degrees,10/13/2007,Advanced Decomposition,Unknown,FEMALE,ADULT,1245,cm,Y,10/13/2007,Left at Site,DEAD STRANDING; FRACTURED SKULL; CARCASS FIRST OBSERVED FLOATING DEAD OUTSIDE OF GOLDEN GATE BRIDGE ON 10/9/07,
SBMNH-2007-25,Blue Whale,11/30/2007,2007,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,13-Santa Barbara,,SAN MIGUEL ISLAND,34.0648,decimal degrees,-120.3715,decimal degrees,12/1/2007,Advanced Decomposition,Unknown,FEMALE,ADULT,2195,cm,N,NA,Left at Site,DEAD STRANDING; RIGHT PECTORAL FIN SEVERED,
200801004,Unidentified Whale,1/2/2008,2008,Swimming,Alive,SERIOUS INJURY,Yes,CA,08-San Francisco,NA,BETWEEN PIER 50 & SAN FRANCISCO OAKLAND BAY BRIDGE,,decimal degrees,,decimal degrees,1/2/2008,Alive,Tug,UNKNOWN,UNKNOWN,10,cm,NA,NA,Left at Site,TUGBOAT COLLIDED WITH FREE SWIMMING WHALE; FINAL STATUS UNKNOWN,
LACM-JPD-458,Gray Whale,2/7/2008,2008,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,16-Orange,HUNTINGTON BEACH,"HUNTINGTON CITY BEACH, TOWER 17 (1/4 MILE NORTH OF BEACH BOULEVARD)",36.64.828,decimal degrees,117.98.997,decimal degrees,2/11/2008,Moderate Decomposition,Unknown,MALE,CALF,517,cm,N,NA,Rendered,EXTERNAL EXAMINATION INDICATED THAT THE ANIMAL HAD BEEN HIT BY A BOAT OR SHIP BASED ON PROPELLER WOUNDS ON THE LEFT DORSO-LATERAL SURFACE FROM MID-BODY TO THE TAIL STOCK; INTERNAL EXAMINATION FURTHER INDICATED A BOAT COLLISION BASED UPON INTERNAL MULTIPLE FRACTURES IN THE CRANIUM AND DEEP BRUISING ON THE RIGHT SIDE OF THE HEAD NEAR THE BLOWHOLE,
200803001,Gray Whale,3/1/2008,2008,Floating,Fresh Dead,DEAD,Yes,CA,17-San Diego,NA,"12 MILES OFFSHORE, BETWEEN SAN DIEGO & CABO SAN LUCAS, MEXICO",,decimal degrees,,decimal degrees,3/1/2008,Fresh Dead,Cruise,UNKNOWN,UNKNOWN,0,cm,N,NA,Left at Site,CARCASS BROUGHT INTO PORT OF CABO SAN LUCAS ON BOW OF CRUISE SHIP; COLLISION OCCURRED BETWEEN PORTS OF SAN DIEGO & CABO SAN LUCAS BETWEEN 5:00 P.M. ON 2/28/08 & 7:20 A.M. ON 3/1/08,
DFO 3259,Humpback whale,5/18/2008,2008,Swimming,Alive,NO DATA,No,CAN,,,"Ucluelet, B.C.",48 56.24,decimal degrees,126 05.69,decimal degrees,5/18/2008,Alive,Fishing,UNKNOWN,UNKNOWN,0,cm,N,NA,Left at Site,"Just got a report about a collision between a humpback and dragger off Ucluelet yesterday in the fog.  Stabilizer of Vessel in question: Pacific Banker, registration VRN 22954. 
Operator: Jim Harvey (250) 726-7279 Hard enough to snap stabilizer on boat. More information contact Lisa Spaven, DFO. This vessel has commercial licenses for halibut and groundfish trawl. ",
CRC-847,Humpback Whale,6/10/2008,2008,Beach or Land,Moderate Decomposition,DEAD,Yes,WA,Clallam,,"Canonball Island, Cape Alava",48.1706,decimal degrees,-124.7356,decimal degrees,6/12/2008,Moderate Decomposition,Unknown,MALE,SUBADULT,1005,cm,Y,6/12/2008,Left at Site,"Good blubber/body condition, not emaciated. L upper jaw broken in several places, cut @ gape on L side. L eye bulging. Stomach full of partially digested krill--likely hit while alive, shortly after feeding.",
SW-2008-1097007,Humpback Whale,8/10/2008,2008,Swimming,Alive,NO DATA,Yes,CA,11-Monterey,NA,OFF POINT PINES,,decimal degrees,,decimal degrees,8/10/2008,Alive,Unknown,UNKNOWN,UNKNOWN,0,cm,NA,,,FREE-SWIMMING WHALE WITH NECROTIC FLUKES; FLUKES HANGING FROM CAUDAL PEDUNCLE BY CONNECTIVE TISSUE; SUSPECTED OLD ENTANGLEMENT OR SHIP STRIKE WOUND; ANIMAL APPEARS VERY WEAK; FINAL STATUS UNKNOWN,
CRC-890,Humpback Whale,8/14/2008,2008,Beach or Land,Moderate Decomposition,NO DATA,Yes,WA,Clallam,,"Cape Alava, just N of Canonball Island",48.1766,decimal degrees,-124.7202,decimal degrees,8/14/2008,Moderate Decomposition,Unknown,MALE,SUBADULT,1070,cm,Y,8/14/2008,Left at Site,"clean cut across throat from gape to gape, possibly extending across top of head. Jaw broken in several places. Likely propeller, unable to determine if injuries were pre- or post-mortem.",
LACM-DSJ-2251,Fin Whale,10/19/2008,2008,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,15-Los Angeles,Long Beach,LONG BEACH HARBOR,33.7408,decimal degrees,-118.202,decimal degrees,10/20/2008,Moderate Decomposition,Shipping,FEMALE,YEARLING,1158.24,cm,N,NA,Left at Site,CARCASS BROUGHT INTO HARBOR ON BOW OF FREIGHTER,
SW-2008-1094373,Unidentified Whale,12/7/2008,2008,Swimming,Alive,SERIOUS INJURY,Yes,CA,15-Los Angeles,SAN PEDRO,6 MILES OFF AVALON CATALINA ISLAND,33.40527778,decimal degrees,–118.23944444,decimal degrees,12/7/2008,Alive,Unknown,UNKNOWN,UNKNOWN,660,in,NA,,,"CATALINA EXPRESS (TRANSPORT VESSEL, 97 FEET LONG, TRAVELING AT 25 KNOTS) COLLIDED WITH FREE-SWIMMING WHALE; NO BLOOD OBSERVED IN WATER; ANIMAL APPEARED TO SWIM AWAY IN NORMAL FASHION; FINAL STATUS UNKNOWN",
SWFSC-KXD0161,Fin Whale,2/2/2009,2009,Swimming,Alive,DEAD,Yes,CA,17-San Diego,La Jolla,"SOUTH OF LA JOLLA COVE; OFFSHORE ""HOSPITALS""",32.838611,decimal degrees,–117.2825,decimal degrees,2/14/2009,Advanced Decomposition,Unknown,FEMALE,SUBADULT,1370,cm,N,,Landfill,"U.S NAVY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL ON 2/2/09; CARCASS SIGHTED FLOATING 1 MILE OFFSHORE SOUTH OF LA JOLLA COVE ON 2/14/09; CARCASS TOWED TO FIESTA ISLAND FOR DISPOSAL; SPECIES ID AND SEX DETERMINED VIA GENETICS; APPROXIMATELY 4 FOOT LONG GASH RUNNING FROM MID-DORSAL TO LEFT LATERAL SURFACE, EXTENDING INTO BLUBBER; WOUND MATCHES THE WOUND PHOTOGRAPHED ON A BALEEN WHALE REPORTED STRUCK BY A SHIP ON FEB 2, 2009 29 MILES OFF SAN CLEMENTE ISLAND (3227N 11809W); U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; MORTALITY (ANIMAL DIED UPON IMPACT, FLOATING AT SURFACE, BLOOD OBSERVED IN WATER; CARCASS RESIGHTED ON 14-FEB FLOATING SOUTH OF LA JOLLA COVE APPROXIMATELY 1 MILE OFFSHORE; CARCASS TOWED TO FIESTA ISLAND FOR DISPOSAL; FOUR FOOT LONG GASH RUNNING FROM MID-DORSAL TO LEFT LATERAL SURFACE, EXTENDING INTO BLUBBER; CARCASS EXAMINED BY SWFSC).",
PSU09-04-04-Er,Gray Whale,4/4/2009,2009,Beach or Land,Moderate Decomposition,DEAD,Yes,WA,Pacific,Ilwaco,"Jetty A, Coast Guard station at Fort Canby",46.27662,decimal degrees,-124.04382,decimal degrees,4/5/2009,Moderate Decomposition,Unknown,MALE,SUBADULT,915,cm,Y,4/7/2009,Left at Site,broken bones in skull; extensive hemorrhage head and thorax,
LACM-DSJ-2257; SWFSC-SJC0021,Gray Whale,4/5/2009,2009,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,16-Orange,SUNSET BEACH,19TH STREET,33 43 10,decimal degrees,118 04 32,decimal degrees,4/6/2009,Advanced Decomposition,Unknown,MALE,CALF,853,cm,N,,Towed,"CARCASS WITH 3 DEEP PARALLEL PROPELLER-LIKE CUTS TO RIGHT SIDE, JUST ANTERIOR OF GENITAL OPENING; CARCASS TOWED 8-10 MILES OFFSHORE SUNSET BEACH BY ORANGE COUNTY PARKS PERSONNEL ON 4/6/09; CARCASS WASHED AHORE AT 29TH STREET IN DEL MAR, SAN DIEGO COUNTY, ON 4/10/09; CARCASS TOWED BACK OUT TO SEA BY DEL MAR CITY LIFEGUARDS; CARCASS WASHED ASHORE AT FLAT ROCK, TORREY PINES STATE BEACH, SAN DIEGO COUNTY, ON 4/12/09",
